date,rolling_return,rolling_volatility,rolling_correlation,regime_cluster,regime,dataset
2025-09-01,-0.0010836026858998204,0.0911599642330337,0.21682050266104236,0,Defensive,train
2025-09-02,-0.0006862052837926101,0.091844612042331,0.2162767069294375,0,Defensive,train
2025-09-03,-0.00047807684953252215,0.08965368288585406,0.21507772833540234,0,Defensive,train
2025-09-04,-0.0005674512237416277,0.0883027613313534,0.22324504433648557,0,Defensive,train
2025-09-05,-0.0003047573215746246,0.0862005281668381,0.2150363881346912,0,Defensive,train
2025-09-08,-0.0004448653028110089,0.08815563122060963,0.2225716394524036,0,Defensive,train
2025-09-09,-0.0006257560355342906,0.08797308039888664,0.21903970378180157,0,Defensive,train
2025-09-10,8.443846984483098e-05,0.0901689085354046,0.20949794228416904,2,Calm,train
2025-09-11,2.103899183517168e-05,0.08850278394612554,0.20480206817126073,2,Calm,train
2025-09-12,0.00019103507617889104,0.08777895485044877,0.2035785878325547,2,Calm,train
2025-09-15,0.00040822679115094416,0.08950196248917797,0.2088106200225772,2,Calm,train
2025-09-16,0.00024466891786908165,0.08968677913552806,0.21352064938745055,2,Calm,train
2025-09-17,0.0006686394693446373,0.09169165926517306,0.23162245720888586,2,Calm,train
2025-09-18,0.0007618434133693142,0.09280366662521068,0.21218533406758625,2,Calm,train
2025-09-19,0.0006864015006941197,0.09201422425408677,0.22945279447732236,2,Calm,train
2025-09-22,0.0003727063001943185,0.09277789870723568,0.2322157155923043,2,Calm,train
2025-09-23,0.0003047355375992166,0.09505001307282422,0.2122570168582529,2,Calm,train
2025-09-24,-0.0001256958576147708,0.09074350060889602,0.20839616151246002,2,Calm,train
2025-09-25,-1.6050417863487048e-05,0.0889355404940909,0.20501413707282481,2,Calm,train
2025-09-26,6.443838657705426e-05,0.08684395489026801,0.19636108577065856,2,Calm,train
2025-09-29,9.074493446036132e-06,0.0873040949575911,0.190771836984756,2,Calm,train
2025-09-30,-0.00018716775347237322,0.08621812268432888,0.19001560016851743,2,Calm,train
2025-10-01,-0.0002596933035661667,0.08679722557502682,0.20104141974983383,2,Calm,train
2025-10-03,-0.00012022467299009797,0.08900197331467702,0.20124334684381706,2,Calm,train
2025-10-06,-6.684869690167106e-05,0.08903153847038923,0.2115287453363697,2,Calm,train
2025-10-07,0.0006635458660024359,0.09042142488253463,0.2232297279695025,2,Calm,train
2025-10-08,0.0007252286681738781,0.09004302753658178,0.20835520035817856,2,Calm,train
2025-10-09,0.0004252323245018062,0.08616428985583542,0.19714519213131362,2,Calm,train
2025-10-10,0.0003034109295127992,0.08361891429321403,0.1888207035287155,2,Calm,train
2025-10-13,0.0005038260282685042,0.08487575432445071,0.20239933053420073,2,Calm,train
2025-10-14,-7.314134407283975e-06,0.08525379277056933,0.21190740267738375,2,Calm,train
2025-10-15,-0.00013032283593893148,0.0863384766432463,0.21453655235331068,2,Calm,train
2025-10-16,-0.00014829452081745713,0.08599143087684176,0.212459196514668,2,Calm,train
2025-10-17,-9.950576012200934e-06,0.08903536139477819,0.2404627364922707,2,Calm,train
2025-10-20,-3.1135136514850875e-05,0.0888190049049807,0.22221305061451385,2,Calm,train
2025-10-21,0.0005578026960409854,0.09255830160452867,0.18041138920696215,2,Calm,train
2025-10-23,0.001208042388250429,0.07940598158839726,0.1262361849851363,2,Calm,train
2025-10-24,0.0015937820135903627,0.0816242964566831,0.1218409707775329,2,Calm,train
2025-10-27,0.0017220672902953683,0.07954068644655447,0.10294398420798365,2,Calm,train
2025-10-28,0.0025692089189716114,0.07531766817200874,0.08750377396522671,2,Calm,train
2025-10-29,0.002696633757801175,0.07322245192788829,0.10129691670084429,2,Calm,train
2025-10-30,0.0029795966628924906,0.07296575735386139,0.10611069585434398,2,Calm,train
2025-10-31,0.002849344983517924,0.07655652738445529,0.12099428979045028,2,Calm,train
2025-11-03,0.00248024940925226,0.07644480115872448,0.12304343247337415,2,Calm,train
2025-11-04,0.0023214676518389524,0.07827556351364535,0.12225192614606639,2,Calm,train
2025-11-06,0.0015281462184668871,0.08249570683922475,0.16153893650944307,2,Calm,train
2025-11-07,0.0015527164154044472,0.08233198394064926,0.1662733323853243,2,Calm,train
2025-11-10,0.0013957342895693653,0.0829238849589744,0.18190574052089659,2,Calm,train
2025-11-11,0.001464657107615927,0.08403902728112977,0.17972940634155707,2,Calm,train
2025-11-12,0.0015621472687626194,0.08521885240870383,0.19271945510963676,2,Calm,train
2025-11-13,0.00217006445791928,0.08352304441733253,0.16891505562977843,2,Calm,train
2025-11-14,0.002424521185421294,0.08030639310297562,0.150410802950895,2,Calm,train
2025-11-17,0.002094398209964282,0.0798767611817005,0.14140745336789068,2,Calm,train
2025-11-18,0.001803095084427602,0.0762119304965906,0.12847650892882517,2,Calm,train
2025-11-19,0.0014100751014628253,0.0793554451999967,0.16623325099238725,2,Calm,train
2025-11-20,0.0014642519364242352,0.0806894294629673,0.1768823544316854,2,Calm,train
2025-11-21,0.0016612225896980404,0.08148582893742128,0.16954369492792556,2,Calm,train
2025-11-24,0.0011797851207390206,0.0802716260162299,0.19398431287499157,2,Calm,train
2025-11-25,0.0011348072296128461,0.08080498270842801,0.20679737649068247,2,Calm,train
2025-11-26,0.0004865145614374337,0.07672579816190567,0.17103148727978618,2,Calm,train
2025-11-27,0.0011385891823802838,0.08729593417235612,0.23276837197637004,2,Calm,train
2025-11-28,0.0009275735305750134,0.0858250985548873,0.21462059187021237,2,Calm,train
2025-12-01,0.0012223004940194679,0.08182836513959413,0.19506713144912277,2,Calm,train
2025-12-02,0.001210714426527984,0.08191362483459563,0.21668769274919944,2,Calm,train
2025-12-03,0.0009443846401185624,0.08717018448318557,0.2753482220183203,2,Calm,train
2025-12-04,0.0014281221899300634,0.08111700031435667,0.22569568145165078,2,Calm,train
2025-12-05,0.0015721898622037245,0.080954960715926,0.23436265897804928,2,Calm,train
2025-12-08,0.002079985480395226,0.0841878622206475,0.2690573245106734,2,Calm,train
2025-12-09,0.0014884565443709686,0.08509287781040825,0.27993203628019797,2,Calm,train
2025-12-10,0.0009146209489218585,0.08614288704647666,0.2817049482543051,2,Calm,train
2025-12-11,0.000426819804539158,0.0838451277686699,0.27656616930138034,2,Calm,train
2025-12-12,0.0005586459252420336,0.08457750169861682,0.30720053678909887,2,Calm,train
2025-12-15,0.0007949605755109435,0.0853430050583996,0.3173700866186436,2,Calm,train
2025-12-16,0.0007608852309142022,0.08517141227029686,0.3170857513943849,2,Calm,train
2025-12-17,0.000735982551015216,0.08560976546462344,0.3196957588977724,2,Calm,train
2025-12-18,0.0002715205907827086,0.0792444504438661,0.3182036159283864,2,Calm,train
2025-12-19,0.00021735575936519257,0.0785190891426284,0.317071935665334,0,Defensive,train
2025-12-22,0.0005984049559939338,0.07951393914501881,0.328209481401096,2,Calm,train
2025-12-23,0.001126196749857062,0.0821514373364726,0.32356076669758493,2,Calm,train
2025-12-24,0.0012580464153702483,0.08057056829967459,0.2934536244690808,2,Calm,train
2025-12-26,0.0005403037061421275,0.06975903458427853,0.23079816347342183,2,Calm,train
2025-12-29,0.00024393562931638817,0.072150407501377,0.2643015172218094,2,Calm,train
2025-12-30,2.453388243074564e-05,0.07421132596205898,0.276551841513609,2,Calm,train
2025-12-31,-2.034925961051865e-06,0.07434866738132337,0.26817061202639725,2,Calm,train
2026-01-01,0.0005598909731483056,0.06907793480615364,0.20151802079893358,2,Calm,train
2026-01-02,4.7939481685520954e-05,0.07541108793835674,0.18530503683355534,2,Calm,train
2026-01-05,0.00010506222924849853,0.07602982525466397,0.2089489660661398,2,Calm,train
2026-01-06,-0.0006516473545709066,0.0717036203932922,0.1469179565718784,2,Calm,train
